dataset,seed,variant,step,train_loss,cum_flops,compression
TransformerLM_LM1B_MultiRuntime_0,7,celo,27,8.16027545928955,32044896.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,27,9.188857078552246,16022448.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,27,9.34378433227539,9613468.800000003,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,27,10.547270774841309,6408979.199999998,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,27,10.524412155151367,4806734.400000001,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,27,10.557047843933105,3204489.599999999,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,27,10.680910110473633,1602244.8000000014,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,27,8.141477584838867,8011224.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,28,7.817949295043945,33231744.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,28,8.56203556060791,16615872.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,28,8.657867431640625,9969523.200000003,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,28,10.525999069213867,6646348.799999999,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,28,10.689804077148438,4984761.6000000015,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,28,10.71169662475586,3323174.3999999994,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,28,10.726585388183594,1661587.2000000016,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,28,8.103856086730957,8307936.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,29,8.400419235229492,34418592.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,29,8.92243766784668,17209296.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,29,8.872844696044922,10325577.600000001,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,29,10.613515853881836,6883718.3999999985,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,29,10.861978530883789,5162788.800000001,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,29,10.803976058959961,3441859.1999999993,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,29,10.76749038696289,1720929.6000000015,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,29,8.466268539428711,8604648.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,30,7.747211456298828,35605440.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,30,8.280000686645508,17802720.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,30,8.292186737060547,10681632.000000002,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,30,10.320405960083008,7121087.999999998,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,30,10.822113037109375,5340816.000000001,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,30,10.743338584899902,3560543.999999999,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,30,10.705997467041016,1780272.0000000016,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,30,7.811277389526367,8901360.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,31,8.202970504760742,36792288.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,31,8.857863426208496,18396144.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,31,9.27792739868164,11037686.400000002,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,31,10.603506088256836,7358457.599999999,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,31,10.758651733398438,5518843.200000001,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,31,10.725859642028809,3679228.7999999993,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,31,10.913455963134766,1839614.4000000015,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,31,8.087627410888672,9198072.0,4.0
